doc_id,entity,label
nyasatimes_7,Masasa,GPE
nyasatimes_7,Msongwe,GPE
nyasatimes_7,Mzilawayingwe,GPE
nyasatimes_7,eight,CARDINAL
nyasatimes_7,Northern Region Police Headquarters,LOC
nyasatimes_4,Hailstorm,ORG
nyasatimes_4,at least eight,CARDINAL
nyasatimes_4,Malawi Police,ORG
nyasatimes_4,Mzuzu,GPE
nyasatimes_4,Tuesday,DATE
nyasatimes_4,afternoon,TIME
nyasatimes_4,about an hour,TIME
nyasatimes_4,3:00 pm,TIME
nyasatimes_4,Masasa,GPE
nyasatimes_4,Katawa,GPE
nyasatimes_4,One,CARDINAL
nyasatimes_4,Sub Inspector,ORG
nyasatimes_4,Daud Mhango,PERSON
nyasatimes_4,Northern Region Police,LOC
nyasatimes_4,Peter Kalaya,PERSON
nyasatimes_4,four,CARDINAL
nyasatimes_4,four,CARDINAL
nyasatimes_4,Mzuzu City Council,ORG
nyasatimes_4,Desk Officer,PERSON
nyasatimes_4,Precious Mandala,PERSON
nyasatimes_4,three,CARDINAL
nyasatimes_4,Katawa Ward,GPE
nyasatimes_4,Alexander Mwakikunga,PERSON
nyasatimes_4,the city council,ORG
nyasatimes_4,a week,DATE
malawi24_11,Karonga,GPE
malawi24_11,one,CARDINAL
malawi24_11,Karonga,GPE
malawi24_11,Wednesday,DATE
malawi24_11,Richard Hara,PERSON
malawi24_11,the morning hours,TIME
malawi24_11,Group Village,GPE
malawi24_11,Headman Mwenelupembe,PERSON
malawi24_11,Traditional Authority Kyungu,ORG
malawi24_11,Bwaye River,FAC
malawi24_11,DC,GPE
malawi24_11,Blessings Mwalwanda,PERSON
malawi24_11,11,DATE
malawi24_11,Mwenelupembe,PERSON
malawi24_11,Traditional Authority Kyungu,ORG
malawi24_11,Hara,PERSON
malawi24_11,Parliament,ORG
malawi24_11,Frank Mwenefumbo,PERSON
malawi24_11,cholera,ORG
malawi24_11,Karonga,PERSON
malawi24_11,one,CARDINAL
malawi24_11,Last year,DATE
malawi24_11,thousands,CARDINAL
malawi24_11,hundreds,CARDINAL
malawi24_13,Two,CARDINAL
malawi24_13,Two,CARDINAL
malawi24_13,Ntchisi,GPE
malawi24_13,Ntchisi,NORP
malawi24_13,Gladson,PERSON
malawi24_13,two,CARDINAL
malawi24_13,Kafuta Mwanza,ORG
malawi24_13,35,DATE
malawi24_13,Alex Soko,PERSON
malawi24_13,15.“Mwanza,CARDINAL
malawi24_13,Kadyaidya,GPE
malawi24_13,35 year old,DATE
malawi24_13,Alex Soko,PERSON
malawi24_13,Chobiza,ORG
malawi24_13,Gomezani,GPE
malawi24_13,Malenga,ORG
malawi24_12,LL,ORG
malawi24_12,Wednesday,DATE
malawi24_12,Gateway Mall,FAC
malawi24_12,Malawi,ORG
malawi24_12,Lilongwe,GPE
malawi24_12,Standard Bank of Malawi,ORG
malawi24_12,Gateway Mall,FAC
malawi24_12,today,DATE
malawi24_12,Lilongwe Gateway Mall Service Centre,FAC
malawi24_12,Wednesday 28thFebruary to Thursday 1st March 2018,DATE
malawi24_12,Malawi24,GPE
malawi24_14,250,CARDINAL
malawi24_14,250,CARDINAL
malawi24_14,16,CARDINAL
malawi24_14,Dowa,GPE
malawi24_14,24th December,DATE
malawi24_14,last year,DATE
malawi24_14,January this year,DATE
malawi24_14,16,CARDINAL
malawi24_14,27,CARDINAL
malawi24_14,Traditional Authority,ORG
malawi24_14,Malawi24,GPE
malawi24_14,District Environmental Officer,ORG
malawi24_14,Desk Officer,PERSON
malawi24_14,Disaster Management Affairs,ORG
malawi24_14,Yusuf Laki,PERSON
malawi24_14,Ward Councilor,ORG
malawi24_14,Msakambewa East,PERSON
malawi24_14,Martin Luka Phiri,PERSON
malawi24_14,Cholera,GPE
malawi24_14,the middle of the night,DATE
malawi24_14,One,CARDINAL
malawi24_14,Chimwanza Wikisoni,PERSON
malawi24_14,200Kgs,CARDINAL
malawi24_14,Muyesakumva,ORG
malawi24_14,Chikudzo, Mkaka, Chimphuno,ORG
malawi24_14,Chimpoza,PERSON
